名稱,緯度,經度,網址
旧大石家住宅,35.6748,139.8349,https://www.city.koto.lg.jp/103020/bunkasports/bunka/oishike/6374.html
明治神宮棒球場,35.6746,139.7171,無網址
深川東京モダン館,35.6741,139.7949,http://fukagawatokyo.com/
日比安公園,35.674,139.7581,無網址
明治神社,35.6726,139.6913,無網址
GINZA KABUKIZA,35.6696,139.7677,無網址
明治丸,35.6674,139.7903,https://www.kaiyodai.ac.jp/overview/facilities/meijimaru.html
小津安二郎紹介展示コーナー,35.6673,139.799,https://www.kcf.or.jp/furuishiba/josetsu/ozu/
方舟之丘,35.6671,139.74,無網址
三得利音樂廳,35.6666,139.7414,無網址
六本木新城展望台 東京城市景觀,35.6604,139.729,無網址
濱離宮恩賜庭園,35.6603,139.7656,無網址
東京鐵塔,35.6585,139.7455,無網址
水素情報館 東京スイソミル,35.6564,139.8118,https://www.tokyo-suisomiru.jp/
宇宙天文館澀谷,35.6555,139.6278,無網址
山種美術館,35.6533,139.7138,無網址
夢の島熱帯植物館,35.6513,139.8294,http://www.yumenoshima.jp/botanicalhall/
東京都立第五福竜丸展示館,35.651,139.8263,http://d5f.org/
東京都多摩動物公園,35.6502,139.405,無網址
豊洲市場,35.6442,139.7843,http://www.toyosu-market.or.jp/
葛西臨海公園,35.6422,139.8624,無網址
葛西臨海水族園,35.6399,139.8645,無網址
東京臨海広域防災公園 そなエリア東京,35.6355,139.7941,http://www.tokyorinkai-koen.jp/sonaarea/
目黑寄生蟲館,35.6337,139.7082,無網址
東京都虹の下水道館,35.6335,139.7843,https://www.nijinogesuidoukan.jp/
東京都水の科学館,35.6308,139.7856,http://www.mizunokagaku.jp/
高尾599博物館,35.6304,139.2687,無網址
東京ビッグサイト,35.6299,139.7942,http://www.bigsight.jp/
高尾山,35.6296,139.2502,無網址
東京JOYPOLIS,35.6288,139.7753,無網址
Maxell Aqua Park品川,35.6279,139.7351,無網址
富士電視台,35.6269,139.7744,無網址
三麗鷗彩虹樂園,35.6257,139.4314,無網址
日本科學未來館,35.6197,139.7781,無網址
日本科学未来館,35.6194,139.7764,https://www.miraikan.jst.go.jp/
東京臨海部広報展示室 TOKYO ミナトリエ,35.6177,139.7786,http://www.tokyo-minatorie.com/
等等力溪谷,35.6045,139.6461,無網址
品川水族館,35.5886,139.7374,無網址
清瀨市立清瀨金山綠地公園,35.4721,139.3121,http://www.city.kiyose.lg.jp/shisetsu/sportssisetukouen/kouennakazato/1001335.html
清瀨細流公園,35.47,139.3038,http://www.city.kiyose.lg.jp/shisetsu/sportssisetukouen/kouenkamikiyoto/1001304.html
愛島中心御神火溫泉,34.7561,139.3518,無網址
伊豆大島火山博物館,34.744,139.3601,無網址
御藏島,33.8813,139.619,無網址
ふれあい牧場,33.1313,139.7672,無網址
國立科學博物館,24.1571,120.6684,無網址
