路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠1,松竹旱溪西路口 - 仁友停車場,去程,66,干城六村,Gancheng 6th Village,120.6093762,24.13674572
綠1,松竹旱溪西路口 - 仁友停車場,去程,67,嶺東三站,Lingdong 3rd Stop,120.6071785,24.13647201
綠1,松竹旱溪西路口 - 仁友停車場,去程,68,東光公司,Tong Kwang Company,120.605724,24.13629
綠1,松竹旱溪西路口 - 仁友停車場,去程,69,嶺東科大第二校區(中台路),Ling Tung University 2nd. Campus(Zhongtai Road),120.602092,24.136149
綠1,松竹旱溪西路口 - 仁友停車場,去程,70,復興電台,Fu Hsing Broadcasting,120.599662,24.138681
綠1,松竹旱溪西路口 - 仁友停車場,去程,71,仁友停車場,Renyou Parking Lot,120.600735,24.139355
綠1,松竹旱溪西路口 - 仁友停車場,回程,1,仁友停車場,Renyou Parking Lot,120.600743,24.139418
綠1,松竹旱溪西路口 - 仁友停車場,回程,2,復興電台,Fu Hsing Broadcasting,120.5995658,24.13868488
綠1,松竹旱溪西路口 - 仁友停車場,回程,3,嶺東科大第二校區(中台路),Ling Tung University 2nd. Campus(Zhongtai Road),120.6020576,24.13600854
綠1,松竹旱溪西路口 - 仁友停車場,回程,4,東光公司,Tong Kwang Company,120.6057,24.136266
綠1,松竹旱溪西路口 - 仁友停車場,回程,5,嶺東三站,Lingdong 3rd Stop,120.607781,24.136557
綠1,松竹旱溪西路口 - 仁友停車場,回程,6,干城六村,Gancheng 6th Village,120.609291,24.136701
綠1,松竹旱溪西路口 - 仁友停車場,回程,7,彩虹眷村(嶺東南路),Rainbow Village(Lingdong S. Road),120.610273,24.13407
綠1,松竹旱溪西路口 - 仁友停車場,回程,8,南屯同安厝,Nantun Tong'ancuo,120.610464,24.131813
綠1,松竹旱溪西路口 - 仁友停車場,回程,9,同安南北巷口,Tongan-Nanbei Lane,120.608978,24.129086
綠1,松竹旱溪西路口 - 仁友停車場,回程,10,成功嶺3號門,Chenggongling 3rd Gate,120.607427,24.126428
綠1,松竹旱溪西路口 - 仁友停車場,回程,11,烏日學田里,Wuri Xuetian Village,120.606869,24.124283
