名稱,市町村名,緯度,經度,施設URL
箱根ヶ崎,瑞穂町,35.7715 ,139.3445 ,https://www.jreast.co.jp/estation/barrier-free/
浅草橋,台東区,35.6975 ,139.7838 ,https://www.jreast.co.jp/estation/barrier-free/
両国,墨田区,35.6975 ,139.7772 ,https://www.jreast.co.jp/estation/barrier-free/
錦糸町,墨田区,35.6967 ,139.8123 ,https://www.jreast.co.jp/estation/barrier-free/
亀戸,江東区,35.6973 ,139.8244 ,https://www.jreast.co.jp/estation/barrier-free/
平井,江戸川区,35.7064 ,139.8402 ,https://www.jreast.co.jp/estation/barrier-free/
新小岩,葛飾区,35.7174 ,139.8564 ,https://www.jreast.co.jp/estation/barrier-free/
小岩,江戸川区,35.7333 ,139.8798 ,https://www.jreast.co.jp/estation/barrier-free/
潮見,江東区,35.6587 ,139.8152 ,https://www.jreast.co.jp/estation/barrier-free/
新木場,江東区,35.6459 ,139.8246 ,https://www.jreast.co.jp/estation/barrier-free/
